,area,living,layout,floor,allfloor,price
19,60.8,"depart,advstore,market,night,park,school,hospital",2房2廳2衛,4,9,"120,000"
20,210.7,"depart,advstore,market,park,school,hospital",開放式格局,8,18,"350,000"
21,86.6,"depart,advstore,market,park,school,hospital",4房2廳3衛,5,11,"125,000"
22,82.3,"depart,advstore,market,park,school,hospital",3房2廳3衛,14,23,"210,000"
23,107.0,"depart,advstore,market,park,school,hospital",4房2廳4衛,5,13,"220,000"
24,52.9,,2房2廳2衛,3,7,"65,000"
25,48.0,"depart,advstore,market,night,park,school,hospital",2房2廳2衛,2,7,"60,000"
26,65.0,"advstore,market,night,park,school,hospital",4房2廳4衛,6,13,"58,000"
27,54.0,"advstore,market,night,park,school,hospital",3房2廳3衛,1,7,"68,000"
28,16.5,"advstore,market,night,park,school,hospital",2房2廳1衛,13,16,"32,000"
29,45.0,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,7,18,"69,000"
0,60.8,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,10,14,"119,900"
1,12.0,"depart,advstore,market,night,park,school,hospital",1房1廳1衛,11,16,"22,000"
2,9.1,"depart,advstore,market,night,park,school,hospital",2房1廳1衛,9,9,"32,000"
3,17.6,"depart,advstore,park",2房1廳1衛,3,7,"45,000"
4,19.2,"depart,advstore,park,school",2房2廳1衛,4,14,"36,000"
5,19.8,"advstore,park,school",2房1廳1衛,7,13,"27,000"
6,70.6,"advstore,market,park,school",3房2廳2衛,2,10,"60,000"
7,36.0,"depart,advstore,market,night,school,hospital",3房2廳2衛,5,12,"63,000"
8,36.0,"depart,advstore,market,night,school,hospital",3房2廳2衛,5,12,"63,000"
9,36.0,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,4,4,"36,000"
10,35.0,"advstore,market,night,park,school,hospital",1房1廳1衛,1,4,"32,000"
11,31.0,,1房1廳1衛,1,4,"35,000"
12,38.4,"advstore,market,park,school",3房2廳2衛,5,5,"39,999"
13,77.0,"depart,advstore,market,night,park,school,hospital",4房2廳3衛,3,13,"100,000"
14,123.2,"depart,advstore,market,night,park,school,hospital",4房2廳3衛,5,11,"125,000"
15,28.4,"depart,advstore,market,night,park,school,hospital",2房2廳1衛,10,15,"60,000"
16,48.8,"depart,advstore,park,school",3房2廳2衛,10,12,"42,000"
17,58.4,"depart,advstore,market,park,school,hospital",3房2廳2衛,6,7,"60,000"
18,28.2,"depart,advstore,market,night,park,school,hospital",2房2廳1衛,2,25,"42,000"
19,48.0,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,4,5,"65,000"
20,16.6,"depart,advstore,market,night,park,school,hospital",2房2廳1衛,6,9,"42,000"
21,65.9,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,17,19,"80,000"
22,42.2,"depart,advstore,market,night,park,school,hospital",5房3廳2衛,7,7,"65,000"
23,51.9,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,10,15,"54,000"
24,9.1,"depart,advstore,market,night,park,school,hospital",1房1廳1衛,8,9,"27,999"
25,43.0,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,10,14,"48,999"
26,60.6,"depart,advstore,market,night,park,school,hospital",4房2廳3衛,10,15,"62,000"
27,41.9,,3房2廳2衛,10,12,"67,800"
28,19.2,"depart,advstore,market,night,park,school,hospital",2房2廳1衛,4,14,"35,999"
29,39.1,"depart,advstore,market,night,park,school,hospital",2房2廳3衛,6,7,"86,999"
0,47.8,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,4,10,"62,777"
1,68.4,"depart,advstore,market,night,park,school,hospital",4房2廳2衛,13,15,"129,999"
2,47.5,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,8,14,"69,999"
3,28.7,"depart,advstore,market,night,park,school,hospital",2房2廳1衛,6,12,"44,999"
4,16.6,"depart,advstore,market,night,park,school,hospital",2房2廳1衛,6,9,"41,999"
5,39.3,"depart,advstore,market,night,park,school,hospital",3房2廳2衛,3,7,"38,000"
6,20.0,"depart,advstore,market,night,park,school",2房1廳1衛,100,5,"25,000"
7,15.5,"depart,advstore,market,night,park,school,hospital",2房2廳1衛,7,7,"40,000"
8,77.0,"depart,advstore",4房2廳3衛,3,13,"100,000"
9,47.8,,4房2廳2衛,4,10,"63,000"
10,48.0,,3房2廳3衛,7,15,"63,000"
11,66.0,,3房2廳2衛,17,19,"80,000"
12,42.4,,4房2廳2衛,5,6,"60,500"
13,72.0,,2房2廳3衛,6,7,"87,000"
14,55.0,,4房2廳2衛,4,7,"50,000"
15,77.0,,4房2廳4衛,13,21,"83,000"
16,60.0,,4房2廳2衛,7,19,"70,000"
17,25.0,,2房1廳1衛,10,14,"41,000"
18,42.0,,5房3廳2衛,7,7,"65,000"
19,32.4,advstore,3房2廳2衛,2,7,"68,000"
20,50.0,,3房2廳2衛,13,14,"85,000"
21,46.0,,4房2廳2衛,2,14,"58,000"
22,25.0,,2房1廳1衛,12,14,"42,000"
23,58.0,"depart,advstore",3房2廳2衛,4,14,"88,000"
24,43.0,"depart,advstore,school",3房2廳2衛,10,14,"49,000"
25,44.0,,3房2廳2衛,7,18,"69,000"
26,60.7,,2房2廳2衛,7,9,"90,000"
27,58.0,"advstore,park",3房2廳2衛,6,7,"60,000"
28,71.0,,3房2廳3衛,7,7,"75,000"
29,29.0,,2房2廳2衛,8,9,"50,000"
0,38.3,,3房1廳2衛,11,17,"50,000"
1,25.8,,1房1廳1衛,13,14,"39,000"
2,60.0,"advstore,night,school",4房2廳2衛,5,6,"80,000"
3,62.0,,4房2廳2衛,12,14,"90,000"
4,75.0,advstore,4房2廳2衛,5,12,"148,000"
5,51.0,,4房2廳2衛,8,16,"68,000"
6,68.0,"advstore,night,park",4房2廳2衛,13,15,"130,000"
7,20.2,,2房2廳1衛,5,7,"42,000"
8,28.2,,3房2廳1衛,2,25,"42,000"
9,44.8,,3房2廳2衛,4,7,"60,000"
10,68.4,,4房2廳2衛,13,15,"130,000"
