Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.513393,0.515625,0.513393,0.513393,0.023357,117258400
1980-12-15,0.488839,0.488839,0.486607,0.486607,0.022139,43971200
1980-12-16,0.453125,0.453125,0.450893,0.450893,0.020514,26432000
1980-12-17,0.462054,0.464286,0.462054,0.462054,0.021022,21610400
1980-12-18,0.475446,0.477679,0.475446,0.475446,0.021631,18362400
1980-12-19,0.504464,0.506696,0.504464,0.504464,0.022951,12157600
1980-12-22,0.529018,0.531250,0.529018,0.529018,0.024068,9340800
1980-12-23,0.551339,0.553571,0.551339,0.551339,0.025084,11737600
1980-12-24,0.580357,0.582589,0.580357,0.580357,0.026404,12000800
1980-12-26,0.633929,0.636161,0.633929,0.633929,0.028841,13893600
1980-12-29,0.642857,0.645089,0.642857,0.642857,0.029248,23290400
1980-12-30,0.629464,0.629464,0.627232,0.627232,0.028537,17220000
1980-12-31,0.611607,0.611607,0.609375,0.609375,0.027724,8937600
1981-01-02,0.616071,0.620536,0.616071,0.616071,0.028029,5415200
1981-01-05,0.604911,0.604911,0.602679,0.602679,0.027420,8932000
1981-01-06,0.578125,0.578125,0.575893,0.575893,0.026201,11289600
1981-01-07,0.553571,0.553571,0.551339,0.551339,0.025084,13921600
1981-01-08,0.542411,0.542411,0.540179,0.540179,0.024576,9956800
1981-01-09,0.569196,0.571429,0.569196,0.569196,0.025896,5376000
1981-01-12,0.569196,0.569196,0.564732,0.564732,0.025693,5924800
1981-01-13,0.546875,0.546875,0.544643,0.544643,0.024779,5762400
1981-01-14,0.546875,0.549107,0.546875,0.546875,0.024881,3572800
1981-01-15,0.558036,0.562500,0.558036,0.558036,0.025388,3516800
1981-01-16,0.555804,0.555804,0.553571,0.553571,0.025185,3348800
1981-01-19,0.587054,0.589286,0.587054,0.587054,0.026709,10393600
1981-01-20,0.571429,0.571429,0.569196,0.569196,0.025896,7520800
1981-01-21,0.580357,0.584821,0.580357,0.580357,0.026404,3976000
1981-01-22,0.587054,0.591518,0.587054,0.587054,0.026709,8887200
