"106年08月11日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"其他電子類報酬指數","154.17","+","0.44","0.29",
"建材營造類報酬指數","376.72","-","0.34","-0.09",
"航運類報酬指數","80.46","+","0.32","0.40",
"觀光類報酬指數","151.10","+","0.60","0.40",
"金融保險類報酬指數","1,569.35","+","3.42","0.22",
"貿易百貨類報酬指數","278.16","-","0.50","-0.18",
"油電燃氣類報酬指數","174.55","+","0.79","0.45",
"其他類報酬指數","353.60","-","2.15","-0.60",
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","111,900,780,094","2,739,127,089","786,937",
"2.台灣存託憑證","15,687,058","4,084,694","703",
"3.受益憑證","0","0","0",
"4.ETF","8,542,294,085","504,008,162","65,454",
"5.受益證券","14,899,920","1,070,000","207",
"6.變更交易股票","12,671,093","4,829,139","763",
"7.認購(售)權證","2,603,165,930","2,611,799,000","79,241",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"證券合計(1+6)","111,913,451,187","2,743,956,228","787,700",
"總計(1~12)","123,089,498,180","5,864,918,084","933,305",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","3,424(4)","412(3)",
"下跌(跌停)","3,356(19)","362(2)",
"持平","496","111",
"未成交","3,975","5",
"無比價","864","7",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
"無比價"含當日除權、除息、新上市、恢復交易者。",
"外幣成交值係以本公司當日下午3時30分公告匯率換算後加入成交金額。<br>公告匯率請參考本公司首頁>交易資訊>雙幣ETF專區>代號對應及每日公告匯率。",

